compact_idx,raw_id,base_raw_id,hemi,name,name_pretty
794,2482,482,R,R-LA,R-AMYGDALA_LA
795,2485,485,R,R-LAV,R-AMYGDALA
796,2487,487,R,R-LD,R-THALAMUS
797,2488,488,R,R-LDT,R-PONS
798,2491,491,R,R-LGd,R-THALAMUS_VISUAL
799,2495,495,R,R-LH,R-HYPOTHALAMUS
800,2496,496,R,R-LHA,R-HYPOTHALAMUS
801,2497,497,R,R-LIN,R-CEREBELLUM
802,2498,498,R,R-LING,R-CEREBELLUM
803,2502,502,R,R-ll,R-WHITE_MATTER
804,2503,503,R,R-LM,R-HYPOTHALAMUS
805,2504,504,R,R-lot,R-OLFACTORY
806,2506,506,R,R-lotg,R-OLFACTORY
807,2508,508,R,R-LPO,R-HYPOTHALAMUS
808,2513,513,R,R-LSc,R-SEPTUM
809,2514,514,R,R-LSr,R-SEPTUM
810,2515,515,R,R-LSv,R-SEPTUM
811,2520,520,R,R-MA,R-HYPOTHALAMUS
812,2521,521,R,R-MARN,R-HYPOTHALAMUS
813,2522,522,R,R-MB,R-MIDBRAIN
814,2527,527,R,R-mcp,R-WHITE_MATTER
815,2529,529,R,R-MD,R-THALAMUS
816,2536,536,R,R-ME,R-HYPOTHALAMUS
817,2537,537,R,R-MEA,R-AMYGDALA_MEDIAL
818,2546,546,R,R-MEPO,R-HYPOTHALAMUS
819,2549,549,R,R-mfb,R-WHITE_MATTER
820,2558,558,R,R-MGd,R-THALAMUS_AUDITORY
821,2559,559,R,R-MGm,R-THALAMUS_AUDITORY
822,2560,560,R,R-MGv,R-THALAMUS_AUDITORY
823,2561,561,R,R-MH,R-HYPOTHALAMUS
824,2562,562,R,R-ml,R-WHITE_MATTER
825,2563,563,R,R-mlf,R-WHITE_MATTER
826,2565,565,R,R-Mmme,R-HYPOTHALAMUS
827,2572,572,R,R-MOB,R-OLFACTORY
828,2579,579,R,R-MOp1,R-CORTEX_MOTOR
829,2580,580,R,R-MOp2-3,R-CORTEX_MOTOR
830,2581,581,R,R-MOp5,R-CORTEX_MOTOR
831,2582,582,R,R-MOp6a,R-CORTEX_MOTOR
832,2583,583,R,R-MOp6b,R-CORTEX_MOTOR
833,2585,585,R,R-MOs1,R-CORTEX_MOTOR
834,2586,586,R,R-MOs2-3,R-CORTEX_MOTOR
835,2587,587,R,R-MOs5,R-CORTEX_MOTOR
836,2588,588,R,R-MOs6a,R-CORTEX_MOTOR
837,2589,589,R,R-MOs6b,R-CORTEX_MOTOR
838,2590,590,R,R-moV,R-WHITE_MATTER
839,2592,592,R,R-MPN,R-HYPOTHALAMUS
840,2596,596,R,R-MPO,R-HYPOTHALAMUS
841,2597,597,R,R-MPT,R-HYPOTHALAMUS
842,2598,598,R,R-MRN,R-MIDBRAIN
843,2602,602,R,R-MS,R-SEPTUM
844,2604,604,R,R-MT,R-MIDBRAIN
845,2606,606,R,R-mtg,R-WHITE_MATTER
846,2608,608,R,R-mtt,R-WHITE_MATTER
847,2610,610,R,R-MV,R-MEDULLA
848,2611,611,R,R-MY,R-MEDULLA
849,2615,615,R,R-NB,R-BASAL_FOREBRAIN
850,2617,617,R,R-ND,R-BASAL_FOREBRAIN
851,2618,618,R,R-NDB,R-BASAL_FOREBRAIN
852,2620,620,R,R-NI,R-PONS
853,2622,622,R,R-NLL,R-MIDBRAIN
854,2627,627,R,R-NLOT1,R-OLFACTORY
855,2629,629,R,R-NLOT2,R-OLFACTORY
856,2630,630,R,R-NLOT3,R-OLFACTORY
857,2631,631,R,R-NOD,R-CEREBELLUM
858,2635,635,R,R-NOT,R-MIDBRAIN
859,2636,636,R,R-NPC,R-MIDBRAIN
860,2637,637,R,R-NR,R-MIDBRAIN
861,2638,638,R,R-nst,R-WHITE_MATTER
862,2639,639,R,R-NTB,R-MEDULLA
863,2640,640,R,R-NTS,R-MEDULLA
864,2647,647,R,R-och,R-WHITE_MATTER
865,2649,649,R,R-OLF,R-OLFACTORY
866,2651,651,R,R-OP,R-MIDBRAIN
867,2652,652,R,R-opt,R-WHITE_MATTER
868,2660,660,R,R-ORBl1,R-CORTEX_PREFRONTAL
869,2661,661,R,R-ORBl2-3,R-CORTEX_PREFRONTAL
870,2662,662,R,R-ORBl5,R-CORTEX_PREFRONTAL
871,2663,663,R,R-ORBl6a,R-CORTEX_PREFRONTAL
872,2664,664,R,R-ORBl6b,R-CORTEX_PREFRONTAL
873,2666,666,R,R-ORBm1,R-CORTEX_PREFRONTAL
